Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Armenia;ARM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;135;257;284;274;313;367;406;538;595;677;739;847;1014;1030;1025;1091;1296;1355;1698;1725;1924;;;
American Samoa;ASM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;803.3130541;890.4571971;877.2628507;990.1294475;974.9883372;1032.327688;1098.787986;1168.037566;1107.854948;961.3121098;1138.858744;1139.779195;1107.338983;1070.866515;1159.681192;1038.734811;1064.919304;1013.026333;1096.422506;1050.432807;1141.528735;1229.345766;;;
Australia;AUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2151.33885;2271.733044;2428.894389;2555.543138;2750.677774;2842.850776;3024.017492;3196.313828;3310.377711;3565.906838;3607.321199;3791.200949;3807.512015;4182.513083;4682.653375;4807.896352;5059.245962;5133.730325;5331.507835;5390.863154;5955.187192;6488.269006;;;
Austria;AUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2707;2761;2936;3077;3291;3382;3596;3765;4025;4188;4300;4466;4751;4945;5083;5205;5477;5641;5905;6276;6531;7272;;;
Azerbaijan;AZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;102;111;123;133;146;185;226;259;379;381;377;494;543;612;634;622;563;546;617;831;733;;;
Burundi;BDI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.4754911;30.79356397;29.90807821;28.77234531;40.16337662;42.91911146;51.85817336;55.99445945;48.40308652;57.1317907;71.11680252;65.06234603;56.31199783;60.09662454;52.55747882;50.14257443;54.1324211;52.2004412;55.29826099;68.82185512;80.4213472;70.49819553;;;
Belgium;BEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2225.607623;2351.941619;2524.57853;2840.521062;2997.999313;3069.844254;3230.027812;3374.849029;3649.64777;3911.965897;4085.271366;4257.525758;4453.844015;4627.812922;4778.662273;5004.910661;5254.799674;5458.280538;5719.846284;6041.601891;6119.045977;6519.197558;;;
Benin;BEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.0322914;59.55192986;57.54541305;59.296933;63.98536776;64.83653229;68.72308606;64.93444426;60.85493188;66.28938743;69.3083683;70.44205457;74.65884199;74.32864945;73.89434096;76.18613606;81.10474036;78.27884345;89.77335328;82.54220587;83.00643378;97.18759938;;;
Burkina Faso;BFA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.54012078;27.47732358;29.04780186;32.74762882;45.68289815;46.47899918;56.37991145;67.80127505;63.04156472;69.35843079;76.21387135;71.44135488;72.17297712;90.64410174;81.90085956;85.08298928;109.1738462;119.803244;105.1262068;116.9686636;143.5885148;152.7088895;;;
